,start_station_name,value
1587,W 21 St & 6 Ave,131679
1718,West St & Chambers St,126290
495,Broadway & W 58 St,117797
286,6 Ave & W 33 St,109542
8,1 Ave & E 68 St,108412
461,Broadway & E 14 St,101115
485,Broadway & W 25 St,100784
1511,University Pl & E 14 St,100089
463,Broadway & E 21 St,97958
1603,W 31 St & 7 Ave,96157
788,E 33 St & 1 Ave,93955
590,Cleveland Pl & Spring St,92880
29,12 Ave & W 40 St,92550
287,6 Ave & W 34 St,92487
24,11 Ave & W 41 St,90159
1719,West St & Liberty St,89417
1105,Lafayette St & E 8 St,89318
562,Central Park S & 6 Ave,89062
328,8 Ave & W 33 St,88789
796,E 40 St & Park Ave,87752
